Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
22,GBFS,h5,0,4790,22.6047
22,Algorithm A,h1,17,3665,15.2684
22,Algorithm A,h2,17,3665,15.4044
22,Algorithm A,h3,0,4790,22.2125
22,Algorithm A,h4,19,4465,19.43
22,Algorithm A,h5,0,4790,22.1495
23,UCS,N/A,19,7803,46.998
23,GBFS,h1,0,3273,12.3755
23,GBFS,h2,0,3273,12.2046
23,GBFS,h3,0,3273,12.3763
23,GBFS,h4,0,19961,301.5026
23,GBFS,h5,0,3273,12.8505
23,Algorithm A,h1,19,3660,15.4672
23,Algorithm A,h2,19,3660,15.8264
23,Algorithm A,h3,0,3273,12.8198
23,Algorithm A,h4,23,11267,87.3862
23,Algorithm A,h5,0,3273,12.4962
24,UCS,N/A,17,721,1.5709
24,GBFS,h1,0,663,1.5124
24,GBFS,h2,0,663,1.511
24,GBFS,h3,0,663,1.5186
24,GBFS,h4,0,72,0.1332
24,GBFS,h5,0,663,1.5181
24,Algorithm A,h1,17,573,1.7664
24,Algorithm A,h2,17,573,1.3336
24,Algorithm A,h3,0,663,1.6385
24,Algorithm A,h4,19,819,1.8947
24,Algorithm A,h5,0,663,1.6372
25,UCS,N/A,7,698,2.1375
25,GBFS,h1,0,788,2.4126
25,GBFS,h2,0,788,2.4332
25,GBFS,h3,0,788,2.406
25,GBFS,h4,22,651,2.0055
25,GBFS,h5,0,788,2.4101
25,Algorithm A,h1,7,173,0.4667
25,Algorithm A,h2,7,173,0.4884
25,Algorithm A,h3,0,788,2.5335
25,Algorithm A,h4,10,840,2.7173
25,Algorithm A,h5,0,788,2.7116
26,UCS,N/A,6,240,0.5989
26,GBFS,h1,0,492,1.2228
26,GBFS,h2,0,492,1.2249
26,GBFS,h3,0,492,1.2749
26,GBFS,h4,0,632,1.7482
26,GBFS,h5,0,492,1.2317
26,Algorithm A,h1,6,160,0.4131
26,Algorithm A,h2,6,160,0.4142
26,Algorithm A,h3,0,492,1.2714
26,Algorithm A,h4,8,442,1.1974
26,Algorithm A,h5,0,588,1.5616
27,UCS,N/A,10,2452,11.3648
27,GBFS,h1,0,3338,16.1414
27,GBFS,h2,0,3338,16.1619
27,GBFS,h3,0,3338,16.2265
27,GBFS,h4,0,3626,18.179
27,GBFS,h5,0,3338,16.3402
27,Algorithm A,h1,10,2451,11.9652
27,Algorithm A,h2,10,2451,12.1156
27,Algorithm A,h3,0,3338,17.02
27,Algorithm A,h4,10,2558,12.6472
27,Algorithm A,h5,0,3338,17.1121
28,UCS,N/A,6,147,0.3052
28,GBFS,h1,6,22,0.0399
28,GBFS,h2,6,22,0.0397
28,GBFS,h3,6,22,0.0399
28,GBFS,h4,0,592,1.4685
28,GBFS,h5,6,22,0.04
28,Algorithm A,h1,6,139,0.2958
28,Algorithm A,h2,6,139,0.2957
28,Algorithm A,h3,6,25,0.0468
28,Algorithm A,h4,8,270,0.6315
28,Algorithm A,h5,6,54,0.1067
29,UCS,N/A,7,500,1.2746
29,GBFS,h1,8,81,0.189
29,GBFS,h2,8,81,0.1884
29,GBFS,h3,8,81,0.1881
29,GBFS,h4,14,265,0.6377
29,GBFS,h5,8,81,0.1907
29,Algorithm A,h1,7,344,1.0828
29,Algorithm A,h2,7,344,0.9051
29,Algorithm A,h3,7,118,0.2826
29,Algorithm A,h4,9,893,2.5478
29,Algorithm A,h5,7,174,0.442
30,UCS,N/A,8,805,2.4481
30,GBFS,h1,0,791,2.4317
30,GBFS,h2,0,791,2.4047
30,GBFS,h3,0,791,2.4408
30,GBFS,h4,0,840,2.5414
30,GBFS,h5,0,791,2.4498
30,Algorithm A,h1,8,587,1.8804
30,Algorithm A,h2,8,587,1.9044
30,Algorithm A,h3,0,791,2.6342
30,Algorithm A,h4,0,840,2.7047
30,Algorithm A,h5,0,791,2.683
31,UCS,N/A,7,626,1.7992
31,GBFS,h1,0,741,2.1187
31,GBFS,h2,0,741,2.1171
31,GBFS,h3,0,741,2.1525
31,GBFS,h4,18,442,1.2351
31,GBFS,h5,0,741,2.1258
31,Algorithm A,h1,7,316,0.8689
31,Algorithm A,h2,7,316,0.8427
31,Algorithm A,h3,0,741,2.2376
31,Algorithm A,h4,10,787,2.42
31,Algorithm A,h5,0,741,2.3793
32,UCS,N/A,9,1026,3.8563
32,GBFS,h1,0,1124,4.1347
32,GBFS,h2,0,1124,4.0129
32,GBFS,h3,0,1124,4.0093
32,GBFS,h4,0,1172,4.0599
32,GBFS,h5,0,1124,4.0126
32,Algorithm A,h1,9,778,2.8087
32,Algorithm A,h2,9,778,2.8378
32,Algorithm A,h3,0,1124,4.2724
32,Algorithm A,h4,11,1138,4.2064
32,Algorithm A,h5,0,1124,4.3882
33,UCS,N/A,11,515,1.3553
33,GBFS,h1,0,18,0.0253
33,GBFS,h2,0,18,0.0254
33,GBFS,h3,0,18,0.0253
33,GBFS,h4,0,20,0.0313
33,GBFS,h5,0,18,0.0255
33,Algorithm A,h1,11,326,0.8317
33,Algorithm A,h2,11,326,0.7881
33,Algorithm A,h3,0,18,0.0257
33,Algorithm A,h4,0,20,0.0302
33,Algorithm A,h5,0,18,0.0258
34,UCS,N/A,6,400,1.1587
34,GBFS,h1,0,652,2.014
34,GBFS,h2,0,652,1.9704
34,GBFS,h3,0,652,1.9658
34,GBFS,h4,22,373,1.1005
34,GBFS,h5,0,652,1.9735
34,Algorithm A,h1,6,164,0.4735
34,Algorithm A,h2,6,164,0.4724
34,Algorithm A,h3,0,652,2.0581
34,Algorithm A,h4,9,800,2.6343
34,Algorithm A,h5,7,220,0.6558
35,UCS,N/A,5,2831,18.5521
35,GBFS,h1,6,36,0.1392
35,GBFS,h2,6,36,0.1382
35,GBFS,h3,6,36,0.1375
35,GBFS,h4,0,12318,117.1289
35,GBFS,h5,6,36,0.146
35,Algorithm A,h1,5,632,3.223
35,Algorithm A,h2,5,632,3.0322
35,Algorithm A,h3,5,81,0.6426
35,Algorithm A,h4,7,5185,52.2296
35,Algorithm A,h5,5,160,0.6499
36,UCS,N/A,4,259,0.6508
36,GBFS,h1,6,54,0.1282
36,GBFS,h2,6,54,0.1291
36,GBFS,h3,6,54,0.1291
36,GBFS,h4,0,816,2.1977
36,GBFS,h5,6,54,0.1309
36,Algorithm A,h1,4,121,0.3047
36,Algorithm A,h2,4,121,0.3104
36,Algorithm A,h3,4,43,0.1024
36,Algorithm A,h4,0,816,2.32
36,Algorithm A,h5,4,44,0.1035
37,UCS,N/A,9,52,0.0737
37,GBFS,h1,0,29,0.0437
37,GBFS,h2,0,29,0.043
37,GBFS,h3,0,29,0.0429
37,GBFS,h4,0,34,0.0479
37,GBFS,h5,0,29,0.043
37,Algorithm A,h1,9,52,0.0771
37,Algorithm A,h2,9,52,0.0777
37,Algorithm A,h3,0,29,0.0436
37,Algorithm A,h4,11,61,0.097
